time,parameterized_I1,integrated_I1,error_h0p02,error_h0p01
0.0,1.0080060558040278,1.0080060558040278,0.0,0.0
0.1,1.0072661991310452,1.007266199131054,1.0973444375395047e-12,6.905587213168474e-14
0.2,1.006668574924368,1.0066685749243856,1.9275692153541968e-12,1.212363542890671e-13
0.30000000000000004,1.006202909867208,1.0062029098672338,2.4651392038776976e-12,1.5476508963274682e-13
0.4,1.0058571064048756,1.0058571064049087,3.3939517862791035e-12,2.1271873151818e-13
0.5,1.005617438098577,1.0056174380986165,4.509281836817536e-12,2.8266278206956486e-13
0.6000000000000001,1.0054687567470315,1.005468756747077,5.6703530759705245e-12,3.5504932327512506e-13
0.7000000000000001,1.0053947091028554,1.005394709102906,6.8327565827530634e-12,4.2810199829546036e-13
0.8,1.0053779611426097,1.0053779611426652,7.947198454871796e-12,4.980460488468452e-13
0.9,1.005400428007482,1.0054004280075415,8.962830477798889e-12,5.619948950652542e-13
1.0,1.0054435079038664,1.0054435079039297,9.829914660031136e-12,6.163958232718869e-13
1.1,1.0054883184240317,1.0054883184240981,1.0503597991373681e-11,6.579181643928678e-13
1.2000000000000002,1.0055159338986226,1.0055159338986925,1.0948575379643444e-11,6.861178292183467e-13
1.3,1.0055076225062058,1.0055076225062793,1.1138867606064196e-11,6.976641486744484e-13
1.4000000000000001,1.0054450819233243,1.0054450819234015,1.1062928351179835e-11,6.930012119710227e-13
1.5,1.0053106722883143,1.005310672288396,1.1904699448450629e-11,7.420730696594546e-13
1.6,1.0050876451664488,1.0050876451665356,1.361666335242262e-11,8.486544800234697e-13
1.7000000000000002,1.0047603670434215,1.0047603670435137,1.5121237595394632e-11,9.423573033018329e-13
1.8,1.0043145356481236,1.0043145356482217,1.6362022847715707e-11,1.0187406473960436e-12
1.9000000000000001,1.0037373871316413,1.003737387131746,1.729638654524024e-11,1.0791367799356522e-12
2.0,1.0030178918321346,1.0030178918322465,1.7887913372760522e-11,1.1173284519827575e-12
2.1,1.0021469360643236,1.0021469360644422,1.8114398869784054e-11,1.1306511282782594e-12
