step,residual_2N,correction,normal_average,torsion_condition,gram_condition
0,0.02,0.0361803,4.63155e-20,1.0,1.0
1,0.000526197,0.00159742,5.20861e-20,1.00426,1.13664
2,1.17106e-06,3.95373e-06,4.17759e-20,1.00426,1.14829
3,1.67548e-11,5.52317e-11,7.64882e-20,1.00426,1.14835
4,2.52576e-15,nan,nan,nan,nan
