# epsilon=0.01, omega1=1, omega2=1.6180339887498949
theta1,theta2,phi1,phi2,I1,I2,u1,u2,v1,v2,E1,E2,E3,E4,H
0,0,-1.6067001823570687e-17,8.1424664636048678e-17,1.0064253445179865,1.5956614276476813,-1.6067001823570687e-17,8.1424664636048678e-17,0.0064253445179864067,-0.022372561102213636,3.6082248300317588e-16,-4.4408920985006262e-16,-5.4314270219473439e-16,7.752442341602256e-16,1.8095136828853919
0,0.098174770424681035,0.0024440483953968731,0.095276437416511359,1.0063487540343188,1.5957651565183053,0.0024440483953968731,-0.0028983330081696827,0.006348754034318782,-0.022268832231589666,-6.9388939039072284e-16,4.4408920985006262e-16,-1.6913553890773869e-17,-1.9081958235744878e-16,1.8095136828853922
0,0.19634954084936207,0.0048644313512568958,0.19058057718239904,1.0061196246773265,1.5960754773714299,0.0048644313512568958,-0.005768963666963031,0.0061196246773265808,-0.021958511378465002,2.0816681711721685e-17,-2.2204460492503131e-16,-4.9786563760534364e-16,6.123573870198129e-16,1.8095136828853917
0,0.2945243112740431,0.0072377169457212131,0.28593986355628392,1.005739880215281,1.5965897962270315,0.0072377169457212131,-0.0085844477177591944,0.0057398802152810553,-0.021444192522863448,-6.8695049648681561e-16,4.4408920985006262e-16,2.7235158572835871e-16,-3.2265856653168612e-16,1.8095136828853919
0,0.39269908169872414,0.009540937815568442,0.38138122667276658,1.005212718430776,1.5973038009292555,0.009540937815568442,-0.011317855025957571,0.0052127184307758836,-0.020730187820639349,1.6653345369377348e-16,-2.2204460492503131e-16,-8.6736173798840355e-18,4.2847669856627135e-16,1.8095136828853919
0,0.49087385212340517,0.011751817268779094,0.47693083063583902,1.0045425979656419,1.5982114784030466,0.011751817268779094,-0.013943021487566173,0.0045425979656418848,-0.019822510346848357,-5.4817261840867104e-16,2.2204460492503131e-16,-3.4694469519536142e-18,-1.8041124150158794e-16,1.8095136828853919
0,0.58904862254808621,0.013848988069102291,0.57261382782769676,1.0037352191121041,1.5993051398640989,0.013848988069102291,-0.016434794720389459,0.0037352191121041243,-0.018728848885795971,-2.2898349882893854e-16,2.2204460492503131e-16,-2.931682674400804e-16,4.4408920985006262e-16,1.8095136828853917
0,0.68722339297276724,0.015812201575485473,0.66845412154199135,1.0027974978152765,1.6005754549638624,0.015812201575485473,-0.018769271430775884,0.0027974978152764535,-0.01745853378603248,-6.8001160258290838e-16,6.6613381477509392e-16,2.3245294578089215e-16,-3.920475055707584e-16,1.8095136828853922
0,0.78539816339744828,0.017622525035746583,0.76447413906244788,1.0017375320202193,1.6020114960362408,0.017622525035746583,-0.020924024335000416,0.0017375320202192913,-0.016022492713653972,-1.9428902930940239e-16,0,-1.2490009027033011e-16,3.3653635433950058e-16,1.8095136828853917
0,0.88357293382212931,0.019262524987053088,0.86069461730137575,1.0005645594182533,1.6036007937309207,0.019262524987053088,-0.022878316520753512,0.0005645594182532432,-0.014433195018974316,-6.9041994343876922e-16,6.6613381477509392e-16,1.8735013540549517e-16,-3.2612801348363973e-16,1.8095136828853919
0,0.98174770424681035,0.020716434905920629,0.95713440307892195,0.99928890562835027,1.6053294053606904,0.020716434905920629,-0.02461330116788835,-0.0007110943716497739,-0.012704583389204447,-4.5102810375396984e-16,2.2204460492503131e-16,-1.8388068845354155e-16,4.0939474033052647e-16,1.8095136828853919
0,1.0799224746714913,0.021970305474552979,1.05381027005621,0.99792192189363726,1.6071819972506052,0.021970305474552979,-0.026112204615281329,-0.0020780781063627547,-0.010851991499289681,-3.7123082385903672e-16,4.4408920985006262e-16,3.677613769070831e-16,-4.2327252813834093e-16,1.8095136828853917
0,1.1780972450961724,0.02301213608178616,1.1507367542302374,0.99647591148077153,1.6091419422527644,0.02301213608178616,-0.027360490865934999,-0.0035240885192284223,-0.008892046497130596,-3.920475055707584e-16,4.4408920985006262e-16,2.4286128663675299e-17,3.3306690738754696e-16,1.8095136828853922
0,1.2762720155208536,0.023831986445736218,1.2479260097556557,0.99496404413867312,1.6111914333828448,0.023831986445736218,-0.028346005765197854,-0.0050359558613268683,-0.0068425553670501561,-4.9613091412936683e-16,2.2204460492503131e-16,2.6367796834847468e-16,-3.3306690738754696e-16,1.8095136828853919
0,1.3744467859455345,0.02442206751934204,1.3453876866818104,0.9934002581976783,1.6133116142478381,0.02442206751934204,-0.029059099263724016,-0.0065997418023216918,-0.0047223745020567058,-7.6674777638174874e-16,4.4408920985006262e-16,0,1.8735013540549517e-16,1.8095136828853919
0,1.4726215563702154,0.024776811106543534,1.4431288319887734,0.99179915016322218,1.6154827265764806,0.024776811106543534,-0.029492724381441977,-0.0082008498367777717,-0.0025512621734143435,-3.5952144039619327e-16,0,4.9960036108132044e-16,-3.8857805861880479e-16,1.8095136828853919
0,1.5707963267948966,0.024892917864286566,1.5411538150810329,0.99017585197056102,1.6176842747452225,0.024892917864286566,-0.029642511713863718,-0.0098241480294389318,-0.0003497140046723215,-9.0830392252688741e-16,4.4408920985006262e-16,-4.5102810375396984e-17,2.2204460492503131e-16,1.8095136828853917
0,1.6689710972195777,0.024769383585265498,1.6394642786596045,0.98854589640850932,1.6198952067261985,0.024769383585265498,-0.029506818559973273,-0.011454103591490723,0.0018612179763035476,-2.7495367094232392e-16,-2.2204460492503131e-16,5.1000870193718129e-16,-5.134781488891349e-16,1.8095136828853919
0,1.7671458676442586,0.024407503843917992,1.7380591156489149,0.98692507157964438,1.6220941103842448,0.024407503843917992,-0.029086751995343711,-0.013074928420355642,0.0040601216343498,-6.1756155744774333e-16,1.1102230246251565e-15,1.0755285551056204e-16,6.9388939039072284e-17,1.8095136828853919
0,1.8653206380689396,0.023810857244041576,1.8369344726082186,0.98532926563047762,1.624259423533694,0.023810857244041576,-0.028386165460720935,-0.014670734369522416,0.0062254347837992011,6.591949208711867e-17,0,5.7592819402429996e-16,-4.3021142204224816e-16,1.8095136828853917
0,1.9634954084936207,0.022985267635413132,1.9360837798104078,0.98377430334606497,1.6263696556494847,0.022985267635413132,-0.027411628683212983,-0.016225696653935019,0.0083356668995898248,-6.7480743215497796e-16,2.2204460492503131e-16,1.0755285551056204e-16,1.7347234759768071e-16,1.8095136828853917
0,2.0616701789183018,0.021938745777302749,2.0354978079235702,0.98227577654771892,1.6284036186288042,0.021938745777302749,-0.02617237099473152,-0.017724223452281043,0.01036962987890943,-7.9797279894933126e-17,-4.4408920985006262e-16,4.0939474033052647e-16,-4.4408920985006262e-16,1.8095136828853917
0,2.1598449493429825,0.020681411029000323,2.1351647509807132,0.98084887054812964,1.6303406635371305,0.020681411029000323,-0.024680198362269395,-0.019151129451870363,0.012306674787235522,-7.3899220076611982e-16,6.6613381477509392e-16,5.377642775528102e-16,-1.4918621893400541e-16,1.8095136828853922
0,2.2580197197676637,0.019225393751607402,2.235070335068436,0.97950818919364824,1.6321609198642344,0.019225393751607402,-0.022949384699227884,-0.020491810806351759,0.014126931114339453,-3.8163916471489756e-17,0,5.134781488891349e-16,-3.677613769070831e-16,1.8095136828853919
0,2.3561944901923448,0.01758471921984275,2.3351979519043327,0.97826758124732172,1.6338455334791699,0.01758471921984275,-0.020996538288012019,-0.021732418752678305,0.015811544729274971,-4.6143644460983069e-16,2.2204460492503131e-16,2.1510571102112408e-16,7.2858385991025898e-17,1.8095136828853922
0,2.454369260617026,0.01577517397279633,2.4355288162054078,0.97713997102773498,1.6353768992250526,0.01577517397279633,-0.018840444411618355,-0.022860028972265009,0.017342910475157611,3.1225022567582528e-17,-2.2204460492503131e-16,6.6266436782314031e-16,-4.5449755070592346e-16,1.8095136828853919
