epsilon,retained_size,residual_4N
0.01,8,3.352159737101887e-06
0.01,16,2.4730965452607334e-10
0.01,32,4.3194614551822497e-16
0.01,64,2.2065682614424986e-15
0.03,8,0.00027665155918110695
0.03,16,3.0646541066461225e-06
0.03,32,1.8114536259883351e-09
0.03,64,7.068998164605489e-15
